id,text
0,Platforms Using ArduPilot
1,Ground Control Stations
2,Information for Developers
3,Get the firmware
4,Additional Information
5,ArduPilot is open source software that runs on a wide range of hardware.
6,Success with ArduPilot requires that the 'First Time Setup' and 'First Flight/Drive and Tuning' sections of the vehicle's documentation be read and followed!
7,"ArduPilot enables the creation and use of trusted, autonomous, unmanned vehicle systems for the peaceful benefit of all. ArduPilot provides a comprehensive suite of tools suitable for almost any vehicle and application. As an open source project, it is constantly evolving based on rapid feedback from a large community of users. The Development Team works with the community and commercial partners to add functionality to ArduPilot that benefits everyone. Although ArduPilot does not manufacture any hardware, ArduPilot firmware works on a wide variety of different hardware to control unmanned vehicles of all types. Coupled with ground control software, unmanned vehicles running ArduPilot can have advanced functionality including real-time communication with operators. ArduPilot has a huge online community dedicated to helping users with questions, problems, and solutions"
8,"Hardware  is the peripheral sensors, controller, and output devices that act as the vehicle’s eyes, ears, brain and arms."
9,"Almost any mobile machine can be transformed into an autonomous vehicle, by simply integrating a small hardware package into it. Hardware packages begin with a controller."
10,"Using inputs from sensors, the controller is able to send outputs to devices such as ESC’s, servos, gimbals and other peripherals."
11,"Firmware is the code running on the controller. You choose the firmware to match your vehicle and mission: Copter, Plane, Rover, Sub, or Antenna Tracker."
12,The choice is yours – one autopilot for any mission.
13,"Ground Control Station (GCS) is your interface to the controller. Various versions of GCS software are available for Window’s, Linux, and Android platforms."
14,"A GCS allows users to set-up, configure, test, and tune the vehicle. Advanced packages allow autonomous mission planning, operation, and post-mission analysis."
15,"Mission Planner is a full-featured GCS supported by ArduPilot. It offers point-and-click interaction with your hardware, custom scripting, and simulation."
16,See sidebar for links to ArduPilot documents.
17,Select your vehicle type to the left
18,Select your “AutoPilot Hardware” and “Peripheral Hardware” for your application
19,"Follow vehicle’s “First Time Setup”  for installing the firmware and Ground Station software, connecting the components, and calibration steps"
20,Prepare for “First Flight(/Drive)” completing setup prior to first flight/drive
21,Advanced Configuration offers setup of more advanced features of the firmware and hardware peripherals
22,"Every country has different regulations governing the operation of remote controlled and/or autonomous vehicles. This database  has country specific information, but it is every operator’s responsibility to be seek out and be aware of local, regional, and federal regulations."
23,Tip
24,Keep up with the latest ArduPilot related blogs on ArduPilot.org!
25,Community is what really sets ArduPilot apart from many other offerings in the market. Here are some of the places you can find ArduPilot users and developers:
26,Discussion Forum:
27,Facebook ArduPilot group
28,Developers Chat Working on the code?  Ask questions of the team in Discord.
29,Developers Guide All things for those who want to get into the nuts and bolts of ArduPilot development can be found in the Developer Guide.
30,We have weekly meeting times.
31,We also have forums
32,"The DIYDrones community provided an initial home for ArduPilot. From those hobbyist beginnings, ArduPilot led the professionalisation of the Open Source drone community by creating DroneCode. Since leaving DroneCode in 2016 ArduPilot has grown further to stand as an independent, open, global project. The comprehensive and ever growing list of ArduPilot features are continually born from the needs of the community - be they hobbyists, commercial users, academics, or the largest of enterprises. See the History of ArduPilot for more information."
33,Thorough documentation of the available features backed by a community to help you set up any vehicle to fit your needs
34,"Many command modes to fit every type of vehicle: Acro, Stabilize, Loiter, Alt-hold, Return To Launch, Land, Follow Me, GeoFence, etc."
35,Autonomous flight modes that execute fully scripted missions with advanced features.
36,"Advanced failsafe options bring peace of mind in the event of lost control signal, low battery conditions, or other system failures."
37,"Three Axis camera control and stabilization, shutter control, live video link with programmable on-screen-display"
38,"Real-time two-way communication between your GCS and controller, including GPS position, battery status, and other live information."
39,"Full data logging for comprehensive post mission analysis, with graphing and Google Earth mapping tools"
40,"Industry leading control algorithms for vehicles of all types, with robust sensor compensation algorithms, filtering and tuning capabilities"
41,No dead ends – Advanced users will find endless options for customization and expanded mission capabilities
42,ArduPilot is capable of controlling many vehicles.
43,This document attempts to enumerate these options.  It is a work in progress and is nowhere near complete.
44,Note
45,R/W is “Real World”
46,"QuadCopter (X, Plus, H, V)"
47,Desc
48,Four fixed equidistant motors
49,Sim
50,Yes
51,R/W
52,Code
53,Copter
54,Info
55,HexaCopter
56,Six fixed equidistant motors
57,Dodeca-HexaCopter
58,Six fixed equidistant pairs of coaxial motors
59,OctaCopter
60,Eight fixed equidistant motors
61,QuadX8
62,4 fixed equidistant pairs of coaxial motors
63,Y6
