id,text
0,Success with Copter requires that the 'First Time Setup' and 'First Flight and Tuning' sections of this documentation be read and followed!
1,"This is the full-featured, open-source multicopter UAV controller that won the Sparkfun 2013 and 2014 Autonomous Vehicle Competition (dominating with the top five spots). A team of developers from around the globe are constantly improving and refining the performance and capabilities of ArduCopter."
2,"Copter is capable of the full range of flight requirements from fast paced FPV racing to smooth aerial photography, and fully autonomous complex missions which can be programmed through a number of compatible software ground stations. The entire package is designed to be safe, feature rich, open-ended for custom applications, and is increasingly easy to use even for the novice."
3,Tip
4,Keep up with the latest ArduPilot related blogs on ArduPilot.org!
5,A Pixhawk or other autopilot loaded with the latest version of the Copter firmware.
6,"Mission Planner software – gives you an easy point-and-click setup/configuration, and a full-featured ground control interface."
7,This Copter Wiki provides all the information you need to set up and operate a multicopter or traditional helicopter.
8,A suitable MultiCopter or Helicopter for your mission.
9,"Plus many other useful options: e.g. data radios, which allow two-way wireless telemetry and control between the vehicle and your computer."
10,Multicopters:
11,Utilize differential thrust management of independent motor-prop units to provide lift and directional control
12,Benefit from mechanical simplicity and design flexibility
13,A capable payload lifter that’s functional in strong wind conditions
14,Redundant lift sources can give increased margin of safety
15,Varied form factor allows convenient options for payload mounting.
16,Helicopters:
17,Typically use a single lifting rotor with two or more blades
18,Maintain directional control by varying blade pitch via servo-actuated mechanical linkage (many versions of these craft exist and it is beyond the scope of this manual to cover them all – the mechanical systems used in helicopters warrant special study and consideration)
19,"Strong, fast and efficient – a proven-worker suitable to many missions."
20,"Because of its open design, Copter also supports more unusual frame types including the Single and Coax-Copters.  Put this together with Plane, Rover and Antenna Tracker and you have a system of robotic vehicles that can be controlled through very similar interfaces to accomplish a wide variety of tasks."
21,Continue to the Introduction section of this wiki.
22,Use the ArduPilot Discuss Server Forums to ask support questions and advice.
23,"To get involved with the development of the software platform, visit the ArduPilot development guide."
24,For a simplified chinese 简体中文 version abstract of this wiki please check ArduPilot.org partner CUAV!
25,"Copter is an advanced open-source autopilot system for multicopters, traditional single/dual rotor helicopters, and other rotor vehicles.  It offers a wide variety of flight modes from fully manual to fully autonomous."
26,"As part of the wider ArduPilot software platform it works seamlessly with a variety of Ground Control Station programs that are used to setup the vehicle, monitor the vehicle’s flight in real-time and perform powerful mission planning activities. It also benefits from other parts of the ArduPilot ecosystem, including simulators, log analysis tools, and higher level APIs for vehicle control."
27,ArduPilot is already a preferred platform for numerous commercially available autopilot systems but you can also use it to enhance the abilities of your own DIY multirotor.
28,Key features include:
29,High precision acrobatic mode: perform aggressive maneuvers including flips!
30,"Auto-level and Altitude Hold modes: Fly level and straight with ease or add simple mode which removes the need for the pilot to keep track of the vehicle’s heading. Just push the stick the way you want the vehicle to go, and the autopilot figures out what that means for whatever orientation the copter is in."
31,"Loiter and PosHold modes: the vehicle will hold its position using its GPS, accelerometers and barometer."
32,Return to launch: Flip a switch to have Copter fly back to the launch location and land automatically.
33,"Ad-hoc commands in Flight: With a two-way telemetry radio installed, just click on the map and the vehicle will fly to the desired location."
34,"Autonomous missions: Use the ground station to define complex missions with up to hundreds of GPS waypoints.  Then switch the vehicle to “AUTO” and watch it take-off, execute the mission, then return home, land and disarm all without any human intervention."
35,"Failsafes: The software monitors the state of the system and triggers an autonomous return-to-home in case of loss of contact with the pilot, low battery, or the vehicle strays outside a defined geofence."
36,Flexible and customizable: Copter can fly all shapes and sizes of vehicles just how you want it to because the user has access to hundreds of parameters that control its behaviour.  You won’t need to touch most of them but they are there if you need them.
37,No vendor lock-in: ArduPilot is fully open source with a diverse community of developers behind it.  You remain in full control of what software is on your vehicle and how it performs.
38,The first thing that you will need is a multicopter with an ArduPilot compatible autopilot. Here is a list of ready-to-fly vehicles to get started with quickly or you may choose to build your own.
39,"If you’re using Copter on a ready-to-fly vehicle then it should come pre-configured and tuned, ready for your first flight. We recommend you read the manufacturer’s instructions before flying especially the sections concerning safety. Then after installing the ground station you can likely jump forward to the First Flight instructions."
40,"Whether using an RTF or DIY vehicle, autonomous vehicles are potentially dangerous! Always follow best safety practices and pay close attention to all safety warnings."
41,"If you plan on building your own multicopter, the following pages will get you started. Please start by reading this section in order to understand what a multicopter can do, and how to select a frame, autopilot board, and other essential components. Then proceed to First Time Setup to learn how to assemble your Copter and then First Flight to learn how to configure and tune it."
42,A multicopter is a mechanically simple aerial vehicle whose motion is controlled by speeding or slowing multiple downward thrusting motor/propeller units.
43,"MultiCopters are aerodynamically unstable and absolutely require an on-board computer (aka autopilot) for stable flight.  As a result, they are “Fly by Wire” systems and if the computer isn’t working, you aren’t flying.  The autopilot combines data from small on-board MEMs gyroscopes and accelerometers (the same as those found in smart phones) to maintain an accurate estimate of its orientation and position."
