id,text
0,Success with Plane requires that the 'First Time Setup' and 'First Flight and Tuning' sections of this documentation be read and followed!
1,The open source Plane firmware running on a compatible controller board gives any fixed-wing aircraft full autonomous capability. VTOL fixed-wing aircraft that hover and cruise in different configurations are also included under the Plane firmware.
2,"Plane provides advanced functions such as support for hundreds of three-dimensional waypoints, automatic take-off and landing as well as sophisticated mission planning and camera controls. It works with a variety of Ground Control Station (GCS) software for programming and mission operations and offers a complete UAV solution."
3,"The entire package is designed to be easily approachable for the novice, while remaining open-ended for custom applications, education, and research use."
4,Note
5,"This is the platform that won the prestigious Outback Challenge UAV competition in 2012, 2014 and 2016 as well as the 2014 Sparkfun Autonomous Vehicle Competition."
6,Tip
7,Keep up with the latest ArduPilot related blogs on ArduPilot.org!
8,Autopilot loaded with the latest version of Plane firmware
9,"Ground Control Station with software that gives you an easy point-and-click setup/configuration, along with a full-featured interface."
10,"A suitable airframe, transmitter, and receiver for your mission."
11,Support tools and hardware for operating and maintaining your aircraft.
12,"Many other useful options, such as two-way telemetry radios which allow in-flight communication and control between the aircraft and your computer."
13,"A fixed-wing aircraft has both advantages and disadvantages in comparison with rotor-craft. Fixed-wing aircraft tend to be more forgiving in the air in the face of both piloting and technical errors, as they have natural gliding capabilities with no power.  Fixed-wing aircraft also are able to carry greater payloads for longer distances on less power."
14,"There is a huge variety of fixed wing aircraft from electric battery powered small foam planes to large scale wooden replicas with multi liquid fuel engines and everything in between.  You are bound to find a plane that suits your flying style and needs. With the advance of VTOL fixed-wing aircraft, taking off and landing in tight spaces is now possible too."
15,"When precision missions are required, fixed-wing aircraft are at a disadvantage, as they must have air moving over their wings to generate lift.  This means they must stay in forward motion, which means they can’t hover in one spot the way a copter can and as a result cannot provide the same level of precise camera positioning."
16,"For longer missions and more payload, a fixed-wing is your best choice. But for keeping a camera in one place or moving slowly, consider switching to a copter instead. The same autopilot can control that equally well by simply loading the Copter code."
17,For a simplified chinese 简体中文 version abstract of this wiki please check ArduPilot.org partner CUAV!
18,Monitor https://discuss.ardupilot.org/c/arduplane for plane-related announcements.
19,"Plane is an advanced open-source autopilot firmwware system for conventional planes, flying wings, and VTOL capable QuadPlanes.  It offers a wide variety of flight modes from fully manual to fully autonomous."
20,"As part of the wider ArduPilot software platform it works seamlessly with a variety of Ground Control Station programs that are used to setup the vehicle, monitor the vehicle’s flight in real-time and perform powerful mission planning activities. It also benefits from other parts of the ArduPilot ecosystem, including simulators, log analysis tools, and higher level APIs for vehicle control."
21,ArduPilot is already a preferred software platform for numerous commercially available autopilot systems but you can also use it to enhance the abilities of your own DIY planes or convert normal RC only systems into fully featured autonomous aircraft.
22,"Please do not be tempted to skip over steps and rush into flight. This is robotics and aviation combined – both of which are quite complex on their own. Take some time to become familiar with documentation. Follow the steps patiently, and you will get your vehicle safely up in the air."
23,Selecting an autopilot controller for your system
24,"First Time Setup- Installing: hardware, software, and firmware. Plugging in: Sensors, radios, batteries, motors, etc."
25,"Configuration- Designate control outputs for flying surfaces. Establish telemetry and control between: vehicle, ground-station, and RC-control transmitter. Set up flight modes, program failsafe behavior, calibrate sensors and motor-controllers, and verify correct motor operation."
26,"First Flight and Tuning- First test flight and tuning stabilization, and speed/height controller"
27,Mission planning - Programming missions.
28,Warning
29,The topic of safety should be foremost on your mind.
30,Autonomous vehicles are high-energy systems driving rotating blades – you are in charge of these potential hazards.
31,"ArduPilot supported autopilots and peripherals are designed to easily integrate with most standard RC aircraft, from simple high-wing trainers to high-speed swept wing fighters and flying wings, to QuadPlane . If you have something out of the ordinary please assume that a bit more tuning will be required to get things dialed in."
32,Aileron/Elevator/Rudder/Throttle Conventional Planes both as TailDraggers or Tricycle Gear
33,Elevon based flying wings
34,V-Tail rudder/elevator control
35,Differential Aileron/Spoiler Flap
36,SLT - fixed wing motor plus separate VTOL motors
37,Tilt-Rotors - which tilt motors from vertical for VTOL to horizontal for fixed wing operation
38,Tailsitters - which takeoff and land with the nose vertical instead of horizontal
39,"Plane has many advanced and complex features such as Automatic Takeoffs and Landings, Commercial Aircraft Avoidance, GeoFencing, Terrain Following, Moving Ship Takeoffs and Landings, Autonomous Soaring and Aerobatics. See Flight Features for more information."
40,"All of us involved with this project care a great deal about the privacy and safety of those whom we share this planet with. Please be a good steward of this technology. It is the product of many evenings and weekends, we make it available for benevolent use."
41,Plane has a lot of advanced features which can be accessed either via configuration parameters or via mission commands. The list below will give you some information on some of the more widely used features. For a full set of features see the full parameter list and the MAVLink protocol definition.
42,Plane can automatically launch a wide range of aircraft types. The instructions below will teach you how to setup your mission to support automatic takeoff. Automatic takeoff can also be accomplished by the TAKEOFF Mode supported in ArduPlane 4.0 and later versions.
43,"The basic idea of automatic takeoff is for the autopilot to set the throttle to maximum and climb until a designated altitude is reached. To cause the plane to execute a takeoff, add a NAV_TAKEOFF command to your mission, usually as the first command. There are two parameters to this command - the minimum pitch, and the takeoff altitude. The minimum pitch controls how steeply the aircraft will climb during the takeoff. A value of between 10 and 15 degrees is recommended for most aircraft. The takeoff altitude controls the altitude above home at which the takeoff is considered complete. Make sure that this is high enough that the aircraft can safely turn after takeoff. An altitude of 40 meters is good for a wide range of aircraft."
44,"During takeoff the wings will be held level to within LEVEL_ROLL_LIMIT degrees until 5 meters of altitude is reached, gradually allowing more roll until the normal ROLL_LIMIT_DEG limit is allowed once 15 meters of altitude is reached. This prevents a sharp roll from causing the wings to hit the runway for ground takeoffs."
45,"Note that the takeoff direction is set from the direction the plane is pointing when the automatic takeoff command is started. So you need to point the plane in the right direction, then switch to AUTO mode. During the first stage of the takeoff the autopilot will use the gyroscope as the principal mechanism for keeping the aircraft flying straight, or the compass if equipped. After sufficient speed for a good GPS heading is reached the aircraft will switch to using the GPS ground track (and compass if so equipped) which allows it to account for a cross-wind."
46,You should try to launch into the wind whenever possible.
47,"A hand launch is a common method to launch smaller aircraft, such as foam gliders. Plane has a number of parameters that control how a hand launch is done. If you are planning to hand launch your aircraft in AUTO mode then please look through these options carefully."
48,The keys to a good hand launch are:
49,if the propeller is behind your hand during launch then ensuring that the motor does not start until it is past your hand
50,ensuring that the aircraft does not try to climb out too steeply
51,assuring that the parameters are set to actually start the motor after the vehicle leaves your hand
52,"default values for the following parameters will usually start the motor as soon at takeoff is selected (mode or mission item). This may be fine for certain hand launch situations/vehicles, but adjusting the following parameters to non-default values may be needed for safety in other situations."
53,The main parameters that control the hand launch motor start are:
54,TKOFF_THR_MINACC
55,TKOFF_THR_DELAY
56,TKOFF_THR_MINSPD
57,TECS_PITCH_MAX
58,"When the auto takeoff mission command starts (usually by switching to AUTO mode) or you switch to TAKEOFF mode when armed, the autopilot starts in “throttle suppressed” mode. The throttle will not start until the conditions set by the TKOFF_THR_x parameters are met."
59,"The TKOFF_THR_MINACC parameter controls the minimum forward acceleration of the aircraft before the throttle will engage. The forward acceleration comes from the throwing action of your arm as you launch the aircraft. You need to set this value high enough that the motor won’t start automatically when you are carrying the aircraft normally, but low enough that you can reliably trigger the acceleration with a normal throwing action. A value of around 15 m/s/s is good for most aircraft. The default value is 0, meaning this safeguard is not active."
60,Sometimes it is desirable to require multiple “shakes” of the vehicle above the TKOFF_THR_MINACC before allowing a motor start. The TKOFF_ACCEL_CNT parameter can be used to require multiple events exceeding this acceleration before proceeding in the motor start.
61,The TKOFF_THR_DELAY parameter is a delay in 1/10 of a second units to hold off starting the motor after the minimum acceleration or acceleration count is reached. This is meant to ensure that the propeller is past your hand before the motor starts. A value of at least 2 (which is 0.2 seconds and the default for the parameter) is recommended for a hand launch. More may be needed.
62,"The TKOFF_THR_MINSPD parameter is a minimum ground speed (as measured by the GPS) before the motor starts after the above dealy. This is an additional safety measure to ensure the aircraft is out of your hand before the motor starts. A value of 4m/s is a good starting point if you wish this safety feature to be active. The default is 0, which would allow the motor to start immediately after the above delay with most GPSes since their velocity estimate is usually a bit  noisey."
63,"Note that if your aircraft is a “tractor” type with the motor at the front then you may want to use the default values of TKOFF_THR_DELAY and TKOFF_THR_MINSPD, or use low values."
64,The final parameter you should think about is the TECS_PITCH_MAX parameter. That controls the maximum pitch which the autopilot will demand in auto flight. When set to a non-zero value this replaces the PTCH_LIM_MAX_DEG parameter for all auto-throttle flight modes. Setting this parameter to a value which is small enough to ensure the aircraft can climb reliably at full throttle will make takeoff much more reliable. A value of 20 is good for most aircraft.
65,"Hand launching a plane usually requires that the vehicle leaves your hand at zero degrees to 5 degs pitch. Higher pitches could lead to a stall. ArduPilot will not start the motors if the pitch is greater than 40 degrees or roll greater than 30 degrees from level. These limits should never be approached when throwing the plane, but are provided as a safety gate."
66,"The main differences between catapult launching and hand launching is that a catapult will usually give the aircraft a greater level of acceleration, and the risk involved is primarily that the propeller will strike the catapult frame instead of hitting your hand."
67,"In most other ways a catapult launch is like a hand launch, and the same 4 key parameters apply. If your catapult is setup so that the motor cannot run until the aircraft is out of the frame of the catapult then you will need to choose the parameters to ensure there is sufficient delay. Often this means a higher value for TKOFF_THR_MINACC (say 20m/s/s) and a longer delay before the GPS ground speed is measured. Some experimentation may be needed, but a value of TKOFF_THR_DELAY of 5 is likely to be good for many catapults."
68,A bungee launch uses a long piece of stretched elastic to launch the aircraft. This can be a cheaper alternative to a catapult and gives good results for a lot of small to medium sized models.
69,"The same 4 parameters that apply to hand launch and catapult launch also apply to a bungee launch, but the values you will need are different. The main risk with a bungee launch (especially with a pusher propeller) is that the propeller will strike the bungee cord, damaging either the propeller or the bungee or both. To prevent this from happening you should have a much higher value of TKOFF_THR_DELAY, making it high enough that the aircraft will have released the bungee before the motor starts. A value of around 50 (giving a 5 second delay) may be a good starting point."
70,"The final class of takeoff is runway takeoff, also known as wheeled takeoff or CTOL (Conventional Takeoff and Landing). Setting up for a good automatic takeoff from a runway is a bit more complex than the other types of launches with more parameters to set and more tuning required. This type of launch greatly benefits from the use of a compass onboard since initial heading is critical."
71,"One key consideration with runway takeoffs is whether you have a tail dragger (tail wheel steering) or tricycle undercarriage (nose wheel steering). Automatic takeoff is easier with a tricycle undercarriage aircraft, with a tail dragger needing additional parameters."
72,The key parameters for runway takeoff are:
73,TKOFF_TDRAG_ELEV
74,TKOFF_TDRAG_SPD1
75,TKOFF_THR_SLEW
76,TKOFF_ROTATE_SPD
77,GROUND_STEER_ALT
78,TKOFF_GND_PITCH
79,"In addition to those parameters you also need to tune ground steering, so that the ground steering controller is able to reliably steer the aircraft. See the separate page on setting up ground steering. As part of this tuning you will need to setup the GROUND_STEER_ALT parameter."
80,"The first two parameters are primarily for tail dragger aircraft, although they can also be used to hold the nose of a tricycle aircraft down on takeoff."
81,"The TKOFF_TDRAG_ELEV parameter is used to hold the tail of a tail dragger hard on the runway during the initial stages of takeoff, to give it enough grip on the runway to steer. For a tail dragger this is normally set to 100, meaning that 100% up elevator is applied during the initial stages of takeoff. For a tricycle undercarriage plane that needs a bit of extra weight on the nose for good steering you may find that a value of -20 (meaning 20% down elevator) may help."
82,"When the takeoff starts, the autopilot will apply TKOFF_TDRAG_ELEV elevator (as a percentage) until the aircraft reaches a speed of TKOFF_TDRAG_SPD1 meters per second. You need to set TKOFF_TDRAG_SPD1 to a speed below the takeoff speed, but above the speed where the aircraft is able to steer using its rudder. When the aircraft reaches TKOFF_TDRAG_SPD1 it will release the elevator and instead use the normal flight pitch controller to try to hold the pitch level. That will have the effect of raising the tail on a tail dragger aircraft."
83,"The TKOFF_ROTATE_SPD parameter controls when the autopilot will try to raise the nose (pitch up) to leave the ground. This needs to be a speed at which the aircraft can sustain a climb, so it should be at least 2 meters per second above the stall speed of the aircraft, preferably more. A higher value will mean a longer takeoff (and thus need more runway). During the run, use TKOFF_GND_PITCH to keep the aircraft on the runway while below this airspeed."
84,The TKOFF_THR_SLEW parameter controls the throttle slew rate (as a percentage per second) during takeoff. This is used to allow the throttle to ramp up at a rate appropriate for your aircraft. How high this should be depends on the type of aircraft. It is usually a good idea for a ground takeoff to limit how fast the throttle ramps up to prevent torque from the motor causing large steering changes. A value of 20 (meaning 20% throttle change per second) is good for many tail draggers. A tricycle undercarriage aircraft may be able to handle a larger throttle slew rate.
85,As with other types of takeoff the TECS_PITCH_MAX parameter controls the maximum pitch used when climbing on takeoff. Make sure that this is limited to a value that the aircraft can use to climb quickly at full throttle. A value of around 20 degrees is good for a wide range of aircraft.
