id,text
0,Success with Rover requires that the 'First Time Setup' and 'First Drive and Tuning' sections of this documentation be read and followed!
1,"Rover is a sophisticated open-source firmware, specially designed for autopilots in ground and water vehicles. This firmware supports not only conventional 3 or 4 wheel configurations, but also extends to boats, sailboats, balance bots, and walking robots. This versatile system is capable of running missions entirely autonomously, which can be defined via mission planning software or manually pre-recorded by the driver."
2,Rover is compatible with a wide variety of supported autopilot boards.
3,"Proudly, Rover was the winning platform at the 2013 and 2014 Sparkfun Autonomous Vehicle Competition. However, Rover’s functionality has extended far past this single event. It’s being employed in numerous practical applications, including, but not limited to, agricultural automation. You can explore a few of these applications in our Video Demos."
4,Tip
5,Keep up with the latest ArduPilot related blogs on ArduPilot.org!
6,"To start with Rover, you will first need a rover with a ArduPilot compatible autopilot. You can either select from a list of ready-to-drive vehicles or  assemble your own (See below)."
7,"Opting for a ready-to-drive vehicle means you’ll receive a pre-configured and finely tuned rover that is prepared for its maiden drive. To operate it, you will need to install a ground station and proceed to the First Drive instructions. Prior to operating, it is important to follow the manufacturer’s guidelines, especially related to safety."
8,Warning
9,"Regardless of using a pre-assembled or a Do-It-Yourself (DIY) vehicle, remember that autonomous vehicles can pose hazards! It’s critical to adhere to recommended safety practices and pay attention to all safety warnings."
10,"If you are interested in building your own rover, the following references will guide you through the process:"
11,Start by familiarizing yourself with Selecting a Frame and Choosing Hardware sections.
12,"Then, proceed to the Select an Autopilot Board section to select an autopilot."
13,"After choosing a frame, autopilot, and required hardware, Pick a Ground Control Station."
14,Navigate to First Time Setup to begin the initial setup.
15,"Finally, consult First Drive and Tuning for driving and tuning advice."
16,"Rover has a lot of different vehicle types, and advanced features which can be accessed either via configuration parameters or via mission commands. Supported vehicle types include Boats, Sailboats, Balance Bots, and Walking Robots. For a full set of features see the Advanced Configuration page, the full parameter list, and the MAVLink protocol definition."
17,"[/site] [site wiki=”copter,rover”] ====== Fences ====== [/site]"
18,"ArduPilot supports a home based Cylindrical (“TinCan”) and Polygonal and/or Cylindrical, Inclusion and/or Exclusion regions. Inclusion and Exclusion Fences are defined easily in Mission Planner under the PLAN screen and loaded to the autopilot, using the FENCES item in the drop down box, just like Missions or Rally Points are planned."
19,"Some vehicles can also have maximum and/or minimum altitude limits. Some flight modes will try to prevent exceeding these limits automatically, a fence breach will be declared in all modes if exceeded."
20,"Upon Fence breach, selectable actions are taken."
21,"Set FENCE_ENABLE = 1 to enable fences. This enables any fences that are setup, except the ALT_MIN fence, which must be enabled by using any fence enable means (GCS message, AUTOENABLE in plane, RC switch)"
22,Set FENCE_ACTION = to whatever you wish for a breach action. These will vary depending on vehicle type. See Fence Breach Actions above.
23,"Set FENCE_OPTIONS to “1” to prevent mode changes after a fence breach until the vehicle returns within the fence boundary (Plane only, Copter/Rover do not allow mode changes while in breach)"
24,Set FENCE_ALT_MAX = to the altitude limit you want (in meters). This is unavailable in Rover.
25,Set FENCE_MARGIN = to the distance from the fence horizontal boundary the vehicle must maintain in order to prevent a breach.
26,Set the FENCE_ALT_MIN as a minimum altitude breach boundary.
27,"Set FENCE_AUTOENABLE = (Plane Only)to allow automatic enabling of the fence (different than FENCE_ENABLE) under certain vehicle conditions, such as upon arming or takeoff. A value of 0 disables this feature. FENCE_ENABLE is ignored if this feature is enabled. Using FENCE_AUTOENABLE = 3 (enable on ARM) is the only recommended use. “1” or “2” functions are being deprecated shortly since they can produce undesirable results in terms of containment."
28,"FENCE_RET_RALLY allows returning to the nearest RALLY point (See: Rally Points), if loaded, instead of HOME."
29,"Set FENCE_TYPE = is a bitmap set to enable the various fence types: MIN or MAX altitude, simple CIRCLE tin can around HOME, or POLYGON fences. The POLYGON fences must also have been loaded via a fence list from a ground control station in order to be active. See below for detailed setup of Cylindrical Fence and Inclusion and Exclusion Fences."
30,Note
31,"Polygon fence type includes the circular fences specified in the Inclusion/Exclusion fence list. The simple home centered CIRCLE fence is a separate fence. Rover ignores altitudes, if set."
32,Defaults for FENCE_TYPE are:
33,Rover: CIRCLE and POLYGON
34,"Copter: ALT MAX, CIRCLE, and POLYGON"
35,Plane: POLYGON
36,ArduPilot includes a simple “tin can” shaped fence centered on home that will attempt to stop your copter/rover from flying/driving too far away by stopping at the fence in some Copter/Rover modes if Object Avoidance is setup.
37,The maximum circular distance and altitude (altitude used by Plane and Copter only) and the vehicle behavior when the fence is reached can be configured using a ground station like Mission Planner or QGC.
38,See [site wiki=”plane”] for fence setup parameters common to all fences. Setup specific to the Cylindrical fence is below.
39,"To enable Fences, go to the Mission Planner full parameter list (CONFIG->Full Parameter Tree), search for items with FENCE_:"
40,Set FENCE_TYPE bit 1 to “1”(+ 2 to value)
41,Set FENCE_RADIUS to the maximum distance from HOME you want (in meters). This should normally be at least 50m. This value must be larger than FENCE_MARGIN and greater than 30m.
